sasdate,CPI_raw,CPI_t
1965-04-01,31.38,0.2233211966572224
1965-05-01,31.48,0.31816762443162006
1965-06-01,31.61,0.41211026783236626
1965-07-01,31.58,-0.0949517400030242
1965-08-01,31.55,-0.09504198402736641
1965-09-01,31.62,0.22162427941037066
1965-10-01,31.65,0.09483168088593175
1965-11-01,31.75,0.3154576748515492
1965-12-01,31.85,0.31446566794715025
1966-01-01,31.88,0.09414719038418617
1966-02-01,32.08,0.6253929076299514
1966-03-01,32.18,0.3112358565923401
1966-04-01,32.28,0.3102701837510935
1966-05-01,32.35,0.2166177545161574
1966-06-01,32.38,0.09269273025793723
1966-07-01,32.45,0.21594949006100705
1966-08-01,32.65,0.6144412572341107
1966-09-01,32.75,0.3058106358820645
1966-10-01,32.85,0.3048782849358833
1966-11-01,32.88,0.0912825257359362
1966-12-01,32.92,0.12158056208901868
1967-01-01,32.9,-0.06077180375432256
1967-02-01,33,0.3034903695154245
1967-03-01,33,0
1967-04-01,33.1,0.3025720916537189
1967-05-01,33.1,0
1967-06-01,33.3,0.6024114603380593
1967-07-01,33.4,0.299850299625648
1967-08-01,33.5,0.298953884836628
1967-09-01,33.6,0.29806281381379307
1967-10-01,33.7,0.2971770389157413
1967-11-01,33.9,0.5917177028088361
1967-12-01,34,0.2945510229757087
1968-01-01,34.1,0.29368596733094776
1968-02-01,34.2,0.29282597790887266
1968-03-01,34.3,0.291971010333425
1968-04-01,34.4,0.2911210207458659
1968-05-01,34.5,0.29027596579616066
1968-06-01,34.7,0.5780362915499104
1968-07-01,34.9,0.5747142255568161
1968-08-01,35,0.2861232281031967
1968-09-01,35.1,0.2853068982406448
1968-10-01,35.3,0.5681833467431119
1968-11-01,35.4,0.28288562004776807
1968-12-01,35.6,0.5633817718256218
1969-01-01,35.7,0.2805050927608299
1969-02-01,35.8,0.27972046210611445
1969-03-01,36.1,0.8344971932180645
1969-04-01,36.3,0.552487593196993
1969-05-01,36.4,0.2751033371890088
1969-06-01,36.6,0.5479465764625324
1969-07-01,36.8,0.5449604767564953
1969-08-01,36.9,0.27137058715962503
1969-09-01,37.1,0.5405418566907905
1969-10-01,37.3,0.5376357036380064
1969-11-01,37.5,0.5347606326595589
1969-12-01,37.7,0.531916147759981
1970-01-01,37.9,0.5291017634415862
1970-02-01,38.1,0.5263170044274457
